name,price,comnum,link
 包邮 [套装书]Python人工智能项目实战+AI安全之对抗样本入门（2册）|8065078,141.4,0,http://product.dangdang.com/1547526605.html
 笨办法学Python 3 编程从入门到实践教程书 Python基础教程自学书籍 代码基于Python3.6+YTHON,156.0,14,http://product.dangdang.com/1391828587.html
 现货 Python编程快速上手 让繁琐工作自动化 Python从入门到精通 Python编程书籍 计算机程序设计编程书,64.0,0,http://product.dangdang.com/1540051125.html
 正版 Python基础教程第3版+数据结构 Python语言描述+Python算法教程(全3册) 数,203.25,8,http://product.dangdang.com/1237614021.html
 流畅的Python + TensorFlow技术解析与实战 精通Python畅销书籍 TensorFlow技术人工智能,161.3,8,http://product.dangdang.com/1057506957.html
 正版 Python编程无师自通——专业程序员的养成+算法图解共两本 算机与互联网 编程语言与程序设计,83.1,1,http://product.dangdang.com/1243135188.html
 零基础学Python 理查森 著，王磊 译 人民邮电出版社 9787115392480,68.9,0,http://product.dangdang.com/1451140927.html
 包邮 [套装书]Python人工智能项目实战+自然语言处理Python进阶（2册|8065079,93.8,0,http://product.dangdang.com/1547526625.html
 正版 Python神经网络编程+深度学习入门+Python编程从零基础到项目实战+TensorFlo,357.0,0,http://product.dangdang.com/1522344883.html
 包邮 [套装书]Python人工智能项目实战+TensorFlow深度学习实战（|8065087,121.0,0,http://product.dangdang.com/1548694945.html
 包邮 [套装书]Python人工智能项目实战+MXNet深度学习实战（2册）|8065080,114.2,0,http://product.dangdang.com/1547526635.html
 包邮 Python数据分析实战|6399154,55.3,0,http://product.dangdang.com/1373327936.html
 包邮 [套装书]Python编程从0到1（视频教学版）+从零开始学Python数|8063161,100.6,0,http://product.dangdang.com/1529737835.html
 3本 用Python写网络爬虫+实战+Python3爬虫数据清洗与可视化实战 框架Scrapy安装 程序设计 计算机网,154.7,4,http://product.dangdang.com/1366379303.html
 包邮 [套装书]Python编程从0到1（视频教学版）+从零开始学Python网|8063160,93.8,0,http://product.dangdang.com/1529737825.html
 零压力学Python*9787115483140 [美]布莱恩 奥弗兰德(Brian Overland),56.9,0,http://product.dangdang.com/1365244698.html
 零基础学Python,65.55,0,http://product.dangdang.com/1622782674.html
" 零基础学Python从入门到精通 python编程自学Python基础入门项目实践 赠视频课程 R,,广东人民出版社【",69.8,0,http://product.dangdang.com/1638649714.html
 正版 Python算法教程+数据结构 Python语言描述 语言编程入门 利用Python进行数据分,114.6,0,http://product.dangdang.com/1237394621.html
 3本 用Python写网络爬虫+数据抓取技术与实战+Python网络爬虫实战 框架Scrapy安装配置 程序设计 计算,153.0,3,http://product.dangdang.com/1218004068.html
 正版 Python并行编程手册 Python编程 零基础入门学习Python基础教程书籍 并行编程技术 分布式架构 编,55.0,0,http://product.dangdang.com/1159103804.html
" 【正版全新直发】零基础学Python(图文版) [英]理查森,王磊 9787115392480 人民邮电出版社",67.3,0,http://product.dangdang.com/1544988038.html
 包邮 [套装书]Python深度学习：基于PyTorch+Python编程从0到|8064753,114.2,1,http://product.dangdang.com/1542583575.html
 包邮 [套装书]Python深度学习实战+TensorFlow机器学习实战指南（|8061785,107.4,0,http://product.dangdang.com/1516876435.html
 【正版特价】R用户Python学习指南：数据科学方法|231919,33.1,0,http://product.dangdang.com/1529739305.html
 2本套 python基础教程+c语言程序设计从入门到精通零基础自学编程入门书计算机程序开发数据结构网络爬虫c++pri,175.5,0,http://product.dangdang.com/1614188308.html
 包邮 [套装书]Python深度学习：基于PyTorch+MXNet深度学习实战|8064747,121.0,0,http://product.dangdang.com/1542153635.html
 包邮 Python爬虫开发与项目实战|5894193,55.3,2,http://product.dangdang.com/1372946136.html
 包邮 [套装书]Python深度学习：基于PyTorch+AI安全之对抗样本入门|8064746,148.2,0,http://product.dangdang.com/1542153625.html
 传智播客Python程序设计从入门到实践套装8本 零基础机器学习人工智能程序设计基础教程+核心编程黑马程序员 赠全套学,398.67,0,http://product.dangdang.com/1517387173.html
 Python数据科学入门,54.5,151,http://product.dangdang.com/25272520.html
 挑战编程技能 57道程序员功力测试题,30.8,110,http://product.dangdang.com/24189248.html
 程序员学Python,70.3,177,http://product.dangdang.com/25320370.html
 Python深度学习,46.6,76,http://product.dangdang.com/26183501.html
 11招玩转网络安全——用Python，更安全,54.3,294,http://product.dangdang.com/25292080.html
 Python开发实践教程（高等职业教育“十三五”规划教材）,19.3,40,http://product.dangdang.com/24178434.html
 Python安全编程项目实训教程,37.4,6,http://product.dangdang.com/28485161.html
 正版图书零基础入门Python深度学习 刘文如 9787111643364 机械工业出版社,43.1,0,http://product.dangdang.com/1606991615.html
 金融数量分析——基于Python编程(畅销书的Python版本，已被四万金融人选为参考书。程序源码扫描书中二维码即可下,45.8,188,http://product.dangdang.com/25307619.html
 Python 网络爬虫实战,46.6,673,http://product.dangdang.com/24168054.html
 Python机器学习 第2版（影印版）,86.1,74,http://product.dangdang.com/25351151.html
 Python并行编程参考手册（影印版）,52.1,59,http://product.dangdang.com/25074833.html
 营销数据科学：用R和Python进行预测分析的建模技术,64.0,209,http://product.dangdang.com/24197261.html
 Python金融大数据分析 第2版（影印版）,124.8,15,http://product.dangdang.com/27905247.html
 人工智能在信用债投资领域的应用：Python语言实践,51.7,103,http://product.dangdang.com/26184165.html
 金融工程及其Python应用,45.0,66,http://product.dangdang.com/26313784.html
 PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署,38.7,630,http://product.dangdang.com/25190422.html
 python编程从入门到实践+数据结构与算法 Python语言实现编程入门零基础教程书籍python基础教程计算机程序,188.7,0,http://product.dangdang.com/1614215778.html
 全新正版 Python编程 Mark Lutz 9787512355309 中国电力出版社,128.7,0,http://product.dangdang.com/1328965096.html
 Python极客项目编程 python核心编程基础 python编程语言从入门到精通 python学习手册 Pytho,66.0,0,http://product.dangdang.com/1540227865.html
" Python 并行编程手册 [意大利] Giancarlo,Zaccone（詹卡洛 扎克尼）,张龙 电子工业出版社 9",59.0,0,http://product.dangdang.com/1532638384.html
" Python与量化投资:从基础到实战,王小川,电子工业出版社【质量保障放心购买】",99.0,0,http://product.dangdang.com/1637991064.html
 Python数据分析第2版 Python数据科学教程书第二版 Python数据分析机器学习时间序列图书籍+Python,137.0,1,http://product.dangdang.com/1190859587.html
 Python密码学编程 编程语言 计算机程序设计书籍 人民邮电出版社,44.8,6,http://product.dangdang.com/1251791149.html
 Python数据分析基础教程：NumPy学习指南(第2版) (印尼)伊德里斯 9787115339409,34.8,7,http://product.dangdang.com/1174817295.html
 Python快乐编程——TensorFlow深度学习项目实战（“好程序员成长”丛书） 9787302541264 千锋,43.1,0,http://product.dangdang.com/1609954484.html
" Python开发实战 [日]BePROUD股份有限公司,盛荣 9787115320896",43.45,10,http://product.dangdang.com/1291060651.html
